category,subcategory,chemical_type,name_cn,name_en,cas,threshold,flavor,source
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,噻唑类 / 噻唑啉类,,2-乙酰基-2-噻唑啉,2-Acetyl-2-thiazoline,—,"1,300 ng/L（水）",烤香、肉香相关,面包、熟肉
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,3-甲基丁醛,3-Methylbutanal,590-86-3,0.01 μg/L（水）,麦芽、巧克力、杏仁,熟肉、发酵食品；亮氨酸降解
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,己醛,Hexanal,66-25-1,0.21 mg/kg（食品基质）,青草、酸败、刺激性气味,肉类、油脂氧化
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,庚醛,Heptanal,111-71-7,3.00 μg/kg（食品基质）,坚果、果香,不同烹饪方法肉类
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,"(E,Z)-2,4-癸二烯醛","(E,Z)-2,4-Decadienal",25152-83-4,高汤中 FD 因子较高,脂肪、青草、烤香、油炸,鸡肉汤、牛肉汤；脂质氧化
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,"(E,E)-2,4-癸二烯醛","(E,E)-2,4-Decadienal",25152-84-5,ppb～ppt 级,脂肪、油炸、蜡质、柑橘,鸡肉汤、牛肉汤
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,12-甲基十三醛,12-Methyltridecanal,75853-49-5,ppb～ppt 级,牛肉脂肪特征香、牛脂味,牛肉汤、炖牛肉
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.2 醛类,,3-巯基-2-甲基戊-1-醇,3-Mercapto-2-methylpentan-1-ol,227456-27-1,—,对牛肉/猪肉肉汁香气显著贡献,牛肉、猪肉肉汁
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.3 酮类,,2-庚酮,2-Heptanone,110-43-0,"140–3,000 ng/L（水）",香蕉、果香、奶酪,肉类、乳制品
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.3 酮类,,2-壬酮,2-Nonanone,821-55-6,5–200 ng/L（水）,果香、奶酪、黄油,肉类、乳制品
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.4 醇类,,1-辛烯-3-醇,1-Octen-3-ol,3391-86-4,1.5 μg/kg（食品基质）,蘑菇、泥土、青草、油脂,熟肉、肉类热加工
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.5 吡嗪类,,"2,6-二甲基吡嗪","2,6-Dimethylpyrazine",108-50-9,30 ppb（水）,坚果、烤香、咖啡,熟肉、咖啡、烤香体系
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.5 吡嗪类,,"2-乙基-3,5-二甲基吡嗪","2-Ethyl-3,5-dimethylpyrazine",13925-07-0,0.002–0.04 ppb（水）,泥土、土豆、烤香,熟肉、发酵/烤香体系
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.5 吡嗪类,,"2,3,5-三甲基吡嗪","2,3,5-Trimethylpyrazine",14667-55-1,400 μg/L（水）,坚果、烘烤土豆、烤花生、可可,熟肉、烤香体系
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.5 吡嗪类,,乙酰吡嗪,2-Acetylpyrazine,22047-25-2,0.06 mg/kg（食品基质）,烤香、肉香,熟肉、烤香体系
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.6 内酯类,,γ-己内酯,γ-Hexalactone,695-06-7,100 ppb（水）,奶油、桃香、奶香、果香,熟肉、和牛研究
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,1.6 内酯类,,γ-十一内酯,γ-Undecalactone,104-67-6,—,果香、奶油、油脂、椰子、桃香、乳香,干熟肉、低脂乳制品
二、乳制品 Dairy,醛类,,乙醛,Acetaldehyde,75-07-0,约 0.2–2.0 ppm,辛辣、果香、青苹果,发酵乳、牛乳
二、乳制品 Dairy,醛类,,己醛,Hexanal,66-25-1,约 0.19 ppm,青草、油脂味,牛乳、稀奶油（氧化标志）
二、乳制品 Dairy,醛类,,(E)-2-壬烯醛,(E)-2-Nonenal,18829-56-6,—,黄瓜、油脂、青草味,牛乳、稀奶油
二、乳制品 Dairy,醛类,,壬醛,Nonanal,124-19-6,—,青草味、陈化味,稀奶油、黄油
二、乳制品 Dairy,含硫化合物,,二甲基硫醚,Dimethyl sulfide,75-18-3,约 0.3–1.0 ppb,煮熟、硫磺、甜玉米味,UHT 牛乳、热处理乳
二、乳制品 Dairy,含硫化合物,,二甲基二硫醚,Dimethyl disulfide,624-92-0,约 0.16–0.5 ppb,洋葱、卷心菜味,热处理乳
二、乳制品 Dairy,含硫化合物,,甲硫醇,Methanethiol,74-93-1,约 0.02–0.1 ppb,硫磺、腐臭味,热处理乳
二、乳制品 Dairy,内酯类,,δ-十二内酯,δ-Dodecalactone,713-95-1,约 0.05–0.5 ppm,奶油、椰子、黄油味,牛乳、稀奶油、黄油
二、乳制品 Dairy,内酯类,,δ-十四内酯,δ-Tetradecalactone,2721-22-4,—（高于阈值时增强鼻后奶油香）,奶油香气,稀奶油
二、乳制品 Dairy,内酯类,,(Z)-6-十二烯-γ-内酯,(Z)-6-Dodecen-γ-lactone,18679-18-0,—,乳香、奶油、奶香味,发酵黄油
二、乳制品 Dairy,游离脂肪酸与发酵产物,,辛酸,Octanoic acid,124-07-2,—,奶香、酸败味,稀奶油、黄油
二、乳制品 Dairy,游离脂肪酸与发酵产物,,双乙酰,Diacetyl,431-03-8,约 0.055 ppm,黄油、奶油味,黄油、发酵黄油
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,己醛,Hexanal,66-25-1,4.5 μg/L；气相 0.23 mg/m³,青草、绿原、新鲜,绿茶、白茶、红茶、黄茶、黑茶、花茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,(E)-2-己烯醛,(E)-2-Hexenal,6728-26-3,1.7 μg/L,青草、绿原,白茶、绿茶、红茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,庚醛,Heptanal,111-71-7,0.26 mg/m³（气相）,青草、油腻、grassy,白茶、绿茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,辛醛,Octanal,124-13-0,—,柑橘、肥皂、柠檬、草本、蜂蜜,红茶、白茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,壬醛,Nonanal,124-19-6,1.1 μg/L,甜、花香、绿原,白茶、乌龙茶、红茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,癸醛,Decanal,112-31-2,0.1 μg/L；0.0026 mg/m³（气相）,柑橘、肥皂、橙皮、蜡质、花香、甜,绿茶、白茶、乌龙茶、黑茶
三、茶汤 Tea Infusion,3.1 C6 醛醇类（青草/青香）,,"(E,E)-2,4-庚二烯醛","(E,E)-2,4-Heptadienal",4170-30-3,—,陈化、陈味相关,黑茶（普洱）
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,芳樟醇,Linalool,78-70-6,0.87 μg/L（茶汤）；4.09 ppb（气相）,花香、甜、柑橘、木香,白茶、红茶、绿茶、黑茶、乌龙茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,反式-芳樟醇氧化物,trans-Linalool oxide,34995-77-2,8.31 ppb（气相）,土腥、花香、奶油,红茶、黑茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,顺式-芳樟醇氧化物,cis-Linalool oxide,5989-33-3,0.82 ppb（气相）,土腥、花香、甜、木香,红茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,香叶醇,Geraniol,106-24-1,6.6 μg/L,花香、玫瑰样,红茶、乌龙茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,橙花叔醇,Nerolidol,7212-44-4,0.25 μg/kg,花香、绿原、柑橘,白茶、乌龙茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,反式-橙花叔醇,trans-Nerolidol,40716-66-3,250 μg/kg,微弱的橙花样花香,白茶、乌龙茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,香茅醇,Citronellol,106-22-9,40 μg/L,花香、玫瑰、青柠,红茶、黑茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,"桉叶素（1,8-桉叶油素）","Eucalyptol / 1,8-Cineole",470-82-6,15 μg/L,桉叶、草本、樟脑、药香,红茶、黑茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,香叶醇氧化物,Geraniol oxide,4111-59-5,—,花香、甜,红茶、黑茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,芳樟醇氧化物 III（吡喃型）,Linalool oxide III (pyranoid),14049-11-7,—,花香、木香,黑茶
三、茶汤 Tea Infusion,3.2 萜烯类与含氧萜类,,柠檬烯,Limonene,138-86-3,—,柑橘、草本,红茶、黑茶
三、茶汤 Tea Infusion,3.3 吡嗪类（烘烤/坚果）,,2-甲基吡嗪,2-Methylpyrazine,109-08-0,1.8 μg/kg,坚果、烘烤食品味,乌龙茶（武夷岩茶）
三、茶汤 Tea Infusion,3.3 吡嗪类（烘烤/坚果）,,"2,3-二乙基-5-甲基吡嗪","2,3-Diethyl-5-methylpyrazine",18138-04-0,—,坚果、烘烤,乌龙茶
三、茶汤 Tea Infusion,3.3 吡嗪类（烘烤/坚果）,,"2,3,6-三甲基吡嗪","2,3,6-Trimethylpyrazine",14667-55-1,—,坚果、烘烤,红茶、黑茶
三、茶汤 Tea Infusion,3.4 含硫化合物（鲜香/熟香/陈香）,,二甲基硫醚,Dimethyl sulfide,75-18-3,0.3 μg/L；0.3 mg/kg（茶汤）,玉米样、卷心菜、硫样、湿土,绿茶、红茶、黑茶
三、茶汤 Tea Infusion,3.4 含硫化合物（鲜香/熟香/陈香）,,甲硫醇,Methanethiol,74-93-1,0.02–2.0 μg/L（水）,腐臭、粪便、卷心菜,绿茶、黑茶
三、茶汤 Tea Infusion,3.4 含硫化合物（鲜香/熟香/陈香）,,二乙基二硫化物,Diethyl disulfide,110-81-6,—,熟香、硫味,绿茶、黑茶
三、茶汤 Tea Infusion,3.4 含硫化合物（鲜香/熟香/陈香）,,p-薄荷烯-8-硫醇,p-Menthene-8-thiol,110434-10-1,—,硫味,绿茶
三、茶汤 Tea Infusion,3.4 含硫化合物（鲜香/熟香/陈香）,,"3,4-二甲基噻吩","3,4-Dimethylthiophene",632-15-5,—,硫味,绿茶/发酵茶
三、茶汤 Tea Infusion,3.5 酯类（果香/甜香）,,(Z)-3-己烯基己酸酯,(Z)-3-Hexenyl hexanoate,74298-89-8,16 μg/L,柔嫩、fresh、clean,绿茶
三、茶汤 Tea Infusion,3.5 酯类（果香/甜香）,,己酸己酯,Hexyl hexanoate,6378-65-0,—,果香、花香,乌龙茶
三、茶汤 Tea Infusion,3.6 其他重要香气化合物,,(E)-β-紫罗兰酮,(E)-β-Ionone,14901-07-6,—,紫罗兰、木香,乌龙茶、黑茶
三、茶汤 Tea Infusion,3.6 其他重要香气化合物,,α-紫罗兰酮,α-Ionone,127-41-3,0.4 μg/kg,木香、紫罗兰香气,乌龙茶（武夷岩茶）
三、茶汤 Tea Infusion,3.6 其他重要香气化合物,,β-紫罗兰酮,β-Ionone,79-77-6,0.007 ppb,紫罗兰、木质、果香,红茶、乌龙茶、黑茶
三、茶汤 Tea Infusion,3.6 其他重要香气化合物,,吲哚,Indole,120-72-9,40 μg/L,浓：橡胶味；淡：花香,乌龙茶、黑茶
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,β-月桂烯,β-Myrcene,123-35-3,1.5 μg/kg；0.045 mg/kg,青草味、柑橘味、脂肪味,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,α-蒎烯,α-Pinene,80-56-8,14 μg/kg（水）,清香、松木香,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,β-蒎烯,β-Pinene,127-91-3,—,松木香、树脂香、木质,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,桧烯,Sabinene,3387-41-5,—,辛香、木质、柑橘,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,γ-萜品烯,γ-Terpinene,99-85-4,—,柑橘、药草香、热带水果,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,萜品油烯,Terpinolene,586-62-9,—,甜香、松木香、花香、柑橘,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,巴伦西亚橘烯,Valencene,4630-07-3,—,甜香、柑橘、橙子样,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,β-石竹烯,β-Caryophyllene,87-44-5,—,木质、辛香、丁香样,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,大牻牛儿烯 D,Germacrene D,23986-74-5,—,木质、辛香、青草,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,萜品-4-醇,Terpinen-4-ol,562-74-3,—,木质、泥土、辛香,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,橙花醇,Nerol,106-82-1,约 300 μg/L；60 ng/L,清新甜花香、玫瑰样,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,橙花叔醇,Nerolidol,7212-44-4,—,木质、花香、青草,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,乙酸香茅酯,Citronellyl acetate,150-84-5,1000 μg/kg（水）,柠檬味,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,香叶基乙酸酯,Geranyl acetate,105-87-3,—,甜花香、柑橘样,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,"1,8-桉叶油素","1,8-Cineole",470-82-6,—,薄荷样、樟脑样,
四、柑橘类水果 Citrus,4.1 萜烯类与含氧萜类,,γ-古芸烯,γ-Gurjunene,22567-17-5,—,酒味、辛辣味,
四、柑橘类水果 Citrus,4.2 醛类,,(Z)-3-己烯醛,(Z)-3-Hexenal,6789-80-6,—,青草、绿叶、刚割草香,
四、柑橘类水果 Citrus,4.2 醛类,,柠檬醛（橙花醛+香叶醛）,Citral,5392-40-5,5–25 ppb（水）,强烈、甜美、柠檬、柑橘,
四、柑橘类水果 Citrus,4.2 醛类,,香茅醛,Citronellal,106-23-0,100 μg/kg（水）,果香、柑橘、柠檬、青草,
四、柑橘类水果 Citrus,4.2 醛类,,"(E,E)-2,4-癸二烯醛","(E,E)-2,4-Decadienal",25152-84-5,0.07 μg/L,脂肪、油炸、蜡质、柑橘,
四、柑橘类水果 Citrus,4.2 醛类,,反-2-十二烯醛,trans-2-Dodecenal,20407-84-5,—,脂肪、柑橘、蜡质,
四、柑橘类水果 Citrus,4.2 醛类,,十二醛,Dodecanal,112-54-9,—,柑橘、蜡质、皂香,
四、柑橘类水果 Citrus,4.4 酯类,,N-甲基邻氨基苯甲酸甲酯,Methyl N-methylanthranilate,85-91-6,约 3 μg/L,葡萄样、花香、柑橘特征,
四、柑橘类水果 Citrus,4.5 酮类,,圆柚酮（诺卡酮）,Nootkatone,4674-50-4,1 ppm（水）；6 ppm（10.5°Bx 复原葡萄柚汁）；>7 ppm 现苦味,强烈果甜、柑橘、葡萄柚果皮、热带水果,
四、柑橘类水果 Citrus,4.5 酮类,,香芹酮,Carvone,99-49-0,—,薄荷、葛缕子、药草,
四、柑橘类水果 Citrus,4.5 酮类,,覆盆子酮,Raspberry ketone,5471-51-2,—,覆盆子样、甜香,
四、柑橘类水果 Citrus,4.5 酮类,,左旋香芹酮,L-α-Carvone,6485-40-1,—,薄荷、香料样,
四、柑橘类水果 Citrus,4.5 酮类,,(E)-β-大马士酮,(E)-β-Damascenone,23726-93-4,—,花香、果香,
四、柑橘类水果 Citrus,4.6 含硫化合物,,1-对-薄荷烯-8-硫醇,1-p-Menthene-8-thiol / Grapefruit mercaptan,71159-90-5,2×10⁻⁵ μg/kg（R型）；8×10⁻⁵ μg/kg（S型）；空气 R 9×10⁻⁵ ng/L，S 6.6×10⁻⁶ ng/L,强烈柑橘、葡萄柚、多汁、硫化、热果香,
四、柑橘类水果 Citrus,4.6 含硫化合物,,"2,8-环硫-(Z)-月桂烷","2,8-Epithio-(Z)-p-menthane",68398-18-5,—,热带水果、硫样,
四、柑橘类水果 Citrus,4.6 含硫化合物,,硫化氢,Hydrogen sulfide,7783-06-4,—,臭鸡蛋、硫样,
四、柑橘类水果 Citrus,4.6 含硫化合物,,甲硫醇,Methanethiol,74-93-1,—,硫样、卷心菜,
五、发酵食品 Fermented Foods,酱油,其他,2-甲基-3-呋喃硫醇,2-methyl-3-furanthiol,28588-74-1,0.007 μg/kg（水）；空气 0.0025 ng/L,烤肉味、肉香、坚果香、Savory,牛肉、鸡肉、猪肉高汤；熟肉、牛肉汤、酱油、鸡肉汤
五、发酵食品 Fermented Foods,酱油,含硫化合物,3-甲硫基丙醛（甲硫醛）,3-(methylsulfanyl)propanal,3268-49-3,约 0.2 μg/kg（水）；乙醇-水体系约 7.1 μg/L,煮土豆、肉香、硫化物香、刺激性气味,炖牛肉、高汤；蛋氨酸 Strecker 降解、白酒（浓香型、陈酿）、酱油、米酒/黄酒、肉类高汤、白酒、黄酒、熟肉
五、发酵食品 Fermented Foods,酱油,其他,双(2-甲基-3-呋喃基)二硫醚,Bis(2-methyl-3-furyl) disulfide,28588-75-2,0.022 ng/L（水）,肉香、硫化物、金属感,熟肉、火腿；含硫呋喃反应产物、牛肉汤、酱油、鸡肉汤
五、发酵食品 Fermented Foods,米酒/黄酒,其他,苯并噻唑,Benzothiazole,,80 ng/L（水）,肉香、硫磺味,熟肉、高汤、牛肉汤、米酒/黄酒、鸡肉汤
五、发酵食品 Fermented Foods,酱油,醛类,2-甲基丁醛,2-methylbutanal,96-17-3,约 4–20 μg/L（水）,麦芽香、可可香、坚果香、青香,熟肉、鸡肉、羊肉；氨基酸代谢、奶油（鲜奶油香气模型）、牛肉汤、米酒/黄酒、茶叶（红茶）、蚝油、酱油、鸡肉汤、可可、麦芽、发酵食品
五、发酵食品 Fermented Foods,酱油,其他,2-丁酮,2-butanone,78-93-3,"50,000 ng/L（水）",清漆、甜味、果香,食品挥发体系、蚝油、酱油、食醋（山西老陈醋）、米酒/黄酒
五、发酵食品 Fermented Foods,米酒/黄酒,其他,2-戊酮,2-pentanone,107-87-9,"70,000 ng/L（水）",果香、丙酮味,食品挥发体系、米酒/黄酒、黄油
五、发酵食品 Fermented Foods,米酒/黄酒,其他,1-戊烯-3-醇,1-penten-3-ol,616-25-1,400 μg/kg（食品基质）,果香,熟肉、鱼/肉类热加工、米酒/黄酒、茶叶（白茶）、茶叶（红茶）
五、发酵食品 Fermented Foods,酱油,醇类,1-己醇,1-hexanol,111-27-3,8000 mg/L；300 μg/L（原文引用嗅觉阈值；用于茶叶OAV计算）,柔和香气、油脂香、甜香、花香、玫瑰香、脂肪香-花香,熟肉、肉类热加工、橙汁（鲜榨）、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶汤（红茶冲泡液）、牛乳、酱油、食醋（山西老陈醋）
五、发酵食品 Fermented Foods,米酒/黄酒,醇类,1-戊醇,1-pentanol,71-41-0,5.00 mg/kg（食品基质）,果香,肉类腐败/熟成过程、牛乳、白酒（浓香型）、米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,酱油,其他,"2,6-二甲基-4-庚酮","2,6-dimethyl-4-heptanone",108-83-8,35–105 ppb（水）,坚果、烤香,熟肉、咖啡、烤香体系、米酒/黄酒、酱油
五、发酵食品 Fermented Foods,酱油,吡嗪类,"2,5-二甲基吡嗪","2,5-dimethyl-pyrazine",123-32-0,约 6–13.7 mg/L（水/乙醇体系）,坚果香、烘烤香、可可香、炸薯条香,熟肉、芝麻油、肉类热加工、食醋（山西老陈醋）、蚝油、酱油、醋、米酒/黄酒、白酒、咖啡、可可
五、发酵食品 Fermented Foods,酱油,内酯类,4-癸内酯（γ-癸内酯）,Γ-decalactone,706-14-9,11 μg/kg（水）,桃香、杏香、奶油、椰子、黄油、甜味,肉类、乳制品、果香体系、酱油、米酒/黄酒
五、发酵食品 Fermented Foods,食醋,其他,γ-十二内酯,Γ-dodecalactone,2305-05-7,8 μg/L（水）,桃香、麝香、甜味、奶油、脂肪感,鸡肉汤、乳制品、果香体系、米酒/黄酒、食醋（山西老陈醋）、黄油
五、发酵食品 Fermented Foods,米酒/黄酒,其他,2-庚酮,2-heptanone,110-43-0,约 0.7–1.0 ppm,果香、奶油、蓝纹奶酪味,牛乳、黄油、稀奶油、白酒（浓香型）、米酒/黄酒、茶叶（红茶）、茶汤（红茶冲泡液）
五、发酵食品 Fermented Foods,米酒/黄酒,其他,2-壬酮,2-nonanone,821-55-6,约 5–8 ppb,果香、花香、油脂味,牛乳、黄油、稀奶油、白酒（浓香型）、米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,米酒/黄酒,其他,2-十一酮,2-undecanone,112-12-9,约 7–14 ppb,果香、玫瑰、蜡味,牛乳、黄油、稀奶油、米酒/黄酒、茶叶（白茶）
五、发酵食品 Fermented Foods,酱油,其他,5-癸内酯（δ-癸内酯）,5-decanolide,705-86-2,约 0.1–1.0 ppm,奶油、椰子、桃子味,牛乳、稀奶油、黄油、酱油
五、发酵食品 Fermented Foods,酱油,酸类,丁酸,Butanoic acid,107-92-6,1050 a μg/L（水/乙醇体系）；1045.47 μg/L（乙醇-水体系）；33.4 mg/L,酸败味、奶酪香、汗味、刺激性酸味,牛乳、黄油、发酵乳、白酒（浓香型）、米酒/黄酒、茶叶（红茶）、蚝油、酱油、白酒（浓香型、董香型等）、奶酪、发酵食品、食醋（山西老陈醋）、陈酿）、醋、发酵乳制品、酿造醋（山西老陈醋）
五、发酵食品 Fermented Foods,酱油,酸类,己酸,Hexanoic acid,142-62-1,"约 2,000–3,000 μg/L（水/乙醇体系）",汗味、奶酪香、酸味、脂肪香、窖臭味,牛乳、黄油、发酵乳、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、酱油、黄酒、奶酪、发酵食品
五、发酵食品 Fermented Foods,酱油,酮类,乙偶姻,3-hydroxy-2-butanone,513-86-0,约 259 μg/L（乙醇-水体系）,黄油香、奶油香、甜香、油脂香,发酵黄油、发酵乳、白酒（浓香型）、米酒/黄酒、酱油、白酒（浓香型、陈酿）、食醋（山西老陈醋）、酿造醋、黄油、发酵乳制品
五、发酵食品 Fermented Foods,米酒/黄酒,酸类,乳酸,Lactic acid,50-21-5,约 400 mg/L（水/乙醇体系）,酸味、乳香、微涩、无明显气味,发酵黄油、米酒/黄酒、白酒、黄酒、米酒、酸奶、发酵食品
五、发酵食品 Fermented Foods,酱油,酸类,乙酸,Acetic acid,64-19-7,"约 14.4–34,000 μg/L（水/乙醇体系）；食醋中约 34 mg/L",酸味、刺激性醋香、酸味主体,发酵黄油、牛乳（奶粉）、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、蚝油、酱油、食醋（山西老陈醋）、酿造醋、酿造醋（山西老陈醋、镇江香醋等）、黄酒、白酒（清香型、酱香型等）、醋
五、发酵食品 Fermented Foods,酱油,其他,吲哚,3-methylindole,83-34-1,,报告中列为关键风味化合物,发酵黄油、酱油
五、发酵食品 Fermented Foods,白酒,其他,(Z)-3-己烯-1-醇,"3-hexen-1-ol, (Z)-",928-96-1,3.9 μg/L；0.0039 mg/L,青草、绿原、新鲜,绿茶、白茶、乌龙茶、红茶、白酒（浓香型）
五、发酵食品 Fermented Foods,白酒,其他,"( E , Z )-2,6-nonadienal","( E , Z )-2,6-nonadienal",557-48-2,0.0045 μg/L,黄瓜样、清新,白茶、白酒（浓香型）、茶叶（白茶）、茶汤（红茶冲泡液）
五、发酵食品 Fermented Foods,酱油,醇类,1-辛烯-3-醇,1-octen-3-ol,3391-86-4,40.0 mg/l；45.0 μg/l（原文引用嗅觉阈值；用于茶叶OAV计算）,蘑菇香、泥土香、青香、金属味,白茶、绿茶、红茶、牛乳、白酒（浓香型）、米酒/黄酒、茶叶（白茶）、茶叶（红茶）、茶叶（黄茶）、酱油、食醋（山西老陈醋）、白酒（小曲、米香型等）、蘑菇、海鲜、发酵食品
